,Subject,date_published,review_text,type_of_traveller,seat_type,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended
0,ethiopian-airlines,2021-01-31 00:08:00,i've flown ethiopian airlines a couple of times and have been generally satisfied. not the best but better than many. i recently flew from add to iad. this was a horrible flight. 1) a flight attendant was serving water in the cabin (nice since they confiscated all water bottles before boarding). i was seated in the back of a cabin. she ran out of water and never came back. who cares? 2) the food and beverage service was absolutely the slowest i've ever seen in my life (out of about 100 trans-atlantic flights). you would have had to work hard to go any slower. there were two flight attendants serving - and two standing around doing absolutely nothing. i have never see a lazier group of flight attendants in my life. 3) the food was worse than bad - inedible. the beef was nothing but grizzle and fat - i wouldn't serve this to my dog. no plan or organization for service - none. terrible flight. among the worst flights i've been on. the cabin crew was lazy beyond words. avoid this airline if at all possible.,Business,Economy Class,August 2021,Negative,Negative,Negative,Negative,Negative,Negative,Negative,0
1,ethiopian-airlines,2021-01-06 00:08:00,fantastic journey. flew on a q400 turbo prop from khartoum to addis ababa. they served a hot meal in economy on a turboprop 2 hr flight.  from addis ababa to kilimanjaro (with a stop without deplaning in zanzibar) i also had great service in economy with a hot meal. the boarding procedure was very well organized and enforced (by boarding zone). the a350 from addis ababa to jro had a great inflight entertainment selection. ethiopian is a terrific airline.,Solo Leisure,Economy Class,July 2021,Positive,Positive,Positive,Positive,Positive,,Positive,1
2,ethiopian-airlines,2021-01-29 00:07:00,my children are stuck in transit in ethiopia as ethiopian airlines keeps delaying their next flight. they told the children that it’s because of weather but many planes are arriving and departing no worries so the weather excuse is obviously a lie. now it’s over 12 hours! they have now missed their connecting flights and ethiopian staff are refusing to help book new flights for them or pay for new connecting flights with the airline of the connecting flights which they missed. disgusting. did not even give the children a hotel to rest in even though they delayed the flight for over 12 hours.,Family Leisure,Economy Class,July 2021,Negative,Negative,Negative,Negative,Negative,Negative,Negative,0
3,ethiopian-airlines,2021-01-17 00:07:00,"average to below average. dirty, dated 767 on route. no entertainment. low calibre staff. check in chaotic with no queue management. online check in never works. no counters for online/no check baggage. food globular but edible.",Business,Economy Class,July 2021,Negative,Negative,Negative,Negative,Negative,,Neutral,0
4,ethiopian-airlines,2021-01-10 00:07:00,"due to cancellation of my kq flight ebb-nbo-jnb, i booked a last minute seat on ethiopian from ebb with a change in add. my travel agent booked this new flight in coach and i upgraded to business at airport. it was cumbersome with no agents on ground knowing what to do and finally having to speak on the phone with et reservations. took about 35 minutes. ticket counter staff was courteous but clueless. i was the only business class passenger ebb-add. equipment was an aging 777 with a tired interior. but seats quite comfortable and, in fact, i found the ethiopian older business class seats far more comfortable than united's over-hyped polaris service. transit in add was fast and smooth. et lounge was excellent, comfortable and very courteous service. there was a resting room and buffet of western and ethiopian food. add-jnb flight was practically full both business and coach. a less-tired 777. good in-flight service. concerned that there was not a lot of mask wearing on flight and flight attendants made no attempt to enforce masking. both flights on time. all in all, a very pleassnt surprise.",Solo Leisure,Business Class,June 2021,Positive,Positive,Neutral,Negative,Negative,,Neutral,1
5,ethiopian-airlines,2021-01-04 00:07:00,"my flight for july 19th was cancelled by ethiopian airlines, since 1 month now i am chasing them for a refund. customer service is incompetent with basic spelling and huge english language understanding issues. if by some miracle you will get through 1h of waiting on hold to go through the customer service call you will face unbelievable issues where a simple task seems impossible to achieve and a refund status follow up is more difficult than a trip to mars. i will never use this airline again.",Couple Leisure,Economy Class,July 2021,,,,,,,Negative,0
6,ethiopian-airlines,2021-01-24 00:06:00,"i reserved a ticket to fly to geneva from addis ababa for june 20 and the ticket office provided to me a print ticket. on the flight day the airline told me as i can't fly due to the covid 19 restriction that those a british passport holder's not allow to fly to schengen countries. i didn't know nothing, no one aware and informed me just i was blindly cheeked my covid test and ready to fly with a lot of plan. after that i asked to get refund but the answer i got the airlines very frustrated and an realistic with all their misinformation.",Solo Leisure,Economy Class,October 2020,,,,,Negative,,Negative,0
7,ethiopian-airlines,2021-01-16 00:06:00,"terrible customer service. avoid at all costs. my daughter was a peace corps volunteer in madagascar, who intended to take a short trip home just prior to the pandemic. just days before her scheduled flight, the covid-19 pandemic triggered a massive evacuation, therefore making her trip null and void. during the process, ethiopian offered little to no support to my daughter while on the ground in madagascar. nevertheless she returned home. upon her return, we spent the next year and a half trying to negotiate a refund for her flight. first the company offered a voucher good for one year (that we would not be able to use during the pandemic). then, i sent a series of 7 emails to various company email addresses. i was able to get a response from a reservation representative, but when i provided the requested information, she never responded, despite assigning me a case reference number. this behavior is completely unacceptable, particularly due to the inability to travel beyond our control. we chose this company in good faith and they have completely taken advantage of the pandemic and a customer who has previously traveled with this airline. we will will use this company again.",Solo Leisure,Economy Class,July 2020,Negative,Negative,,,Negative,,Negative,0
8,ethiopian-airlines,2021-01-07 00:06:00,"i just finished 4 flights from vienna to addis ababa and then to kenya and then the same for the return trip. on every flight, most of the screens were not working or not working properly. the staff were rude with the exception of the nice girls who were at the check-in counter in vienna. the food was mediocre at best andseats are uncomfortable. i offered to pay for an upgrade on both the longer flights when i arrived at the airport and was told it was not possible despite there being availability. just a ridiculous cheap airline.",Solo Leisure,Economy Class,June 2021,Negative,Negative,Negative,Negative,Neutral,,Neutral,0
9,ethiopian-airlines,2021-01-25 00:05:00,"my 85 (almost 86) year old mother was the passenger. i was just doing my best to see to it that my mom was all set, and i am astonished at how well she was treated! from houston iah i put my mom on a flight that stopped in dulles. over the phone, i was doing my best to help her manage her flight from dulles airport to her final destination of zambia africa. it was nerve wracking, but the crew stepped up and managed everything with such kindness and gentleness toward my mom, that i wanted to say thank you to ethiopian airlines for such exemplary client care!",Solo Leisure,Business Class,May 2021,Positive,Positive,,,Positive,,Positive,1
