,Subject,date_published,review_text,type_of_traveller,seat_type,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended
0,ethiopian-airlines,2021-01-31 00:08:00,ive flown ethiopian airlines couple times generally satisfied best better many recently flew add iad horrible flight  flight attendant serving water cabin nice since confiscated water bottles boarding seated back cabin ran water never came back cares  food beverage service absolutely slowest ive ever seen life  transatlantic flights would work hard go slower two flight attendants serving  two standing around absolutely nothing never see lazier group flight attendants life  food worse bad  inedible beef nothing grizzle fat  wouldnt serve dog plan organization service  none terrible flight among worst flights ive cabin crew lazy beyond words avoid airline possible,Business,Economy Class,August 2021,Negative,Negative,Negative,Negative,Negative,Negative,Negative,0
1,ethiopian-airlines,2021-01-06 00:08:00,fantastic journey flew q turbo prop khartoum addis ababa served hot meal economy turboprop  hr flight  addis ababa kilimanjaro stop without deplaning zanzibar also great service economy hot meal boarding procedure well organized enforced boarding zone addis ababa jro great inflight entertainment selection ethiopian terrific airline,Solo Leisure,Economy Class,July 2021,Positive,Positive,Positive,Positive,Positive,,Positive,1
2,ethiopian-airlines,2021-01-29 00:07:00,children stuck transit ethiopia ethiopian airlines keeps delaying next flight told children it’s weather many planes arriving departing worries weather excuse obviously lie it’s  hours missed connecting flights ethiopian staff refusing help book new flights pay new connecting flights airline connecting flights missed disgusting even give children hotel rest even though delayed flight  hours,Family Leisure,Economy Class,July 2021,Negative,Negative,Negative,Negative,Negative,Negative,Negative,0
3,ethiopian-airlines,2021-01-17 00:07:00,average average dirty dated  route entertainment low calibre staff check chaotic queue management online check never works counters onlineno check baggage food globular edible,Business,Economy Class,July 2021,Negative,Negative,Negative,Negative,Negative,,Neutral,0
4,ethiopian-airlines,2021-01-10 00:07:00,due cancellation kq flight ebbnbojnb booked last minute seat ethiopian ebb change add travel agent booked new flight coach upgraded business airport cumbersome agents ground knowing finally speak phone et reservations took  minutes ticket counter staff courteous clueless business class passenger ebbadd equipment aging  tired interior seats quite comfortable fact found ethiopian older business class seats far comfortable uniteds overhyped polaris service transit add fast smooth et lounge excellent comfortable courteous service resting room buffet western ethiopian food addjnb flight practically full business coach lesstired  good inflight service concerned lot mask wearing flight flight attendants made attempt enforce masking flights time pleassnt surprise,Solo Leisure,Business Class,June 2021,Positive,Positive,Neutral,Negative,Negative,,Neutral,1
5,ethiopian-airlines,2021-01-04 00:07:00,flight july th cancelled ethiopian airlines since  month chasing refund customer service incompetent basic spelling huge english language understanding issues miracle get h waiting hold go customer service call face unbelievable issues simple task seems impossible achieve refund status follow difficult trip mars never use airline,Couple Leisure,Economy Class,July 2021,,,,,,,Negative,0
6,ethiopian-airlines,2021-01-24 00:06:00,reserved ticket fly geneva addis ababa june  ticket office provided print ticket flight day airline told cant fly due covid  restriction british passport holders allow fly schengen countries didnt know nothing one aware informed blindly cheeked covid test ready fly lot plan asked get refund answer got airlines frustrated realistic misinformation,Solo Leisure,Economy Class,October 2020,,,,,Negative,,Negative,0
7,ethiopian-airlines,2021-01-16 00:06:00,terrible customer service avoid costs daughter peace corps volunteer madagascar intended take short trip home prior pandemic days scheduled flight covid pandemic triggered massive evacuation therefore making trip null void process ethiopian offered little support daughter ground madagascar nevertheless returned home upon return spent next year half trying negotiate refund flight first company offered voucher good one year would able use pandemic sent series  emails various company email addresses able get response reservation representative provided requested information never responded despite assigning case reference number behavior completely unacceptable particularly due inability travel beyond control chose company good faith completely taken advantage pandemic customer previously traveled airline use company,Solo Leisure,Economy Class,July 2020,Negative,Negative,,,Negative,,Negative,0
8,ethiopian-airlines,2021-01-07 00:06:00,finished  flights vienna addis ababa kenya return trip every flight screens working working properly staff rude exception nice girls checkin counter vienna food mediocre best andseats uncomfortable offered pay upgrade longer flights arrived airport told possible despite availability ridiculous cheap airline,Solo Leisure,Economy Class,June 2021,Negative,Negative,Negative,Negative,Neutral,,Neutral,0
9,ethiopian-airlines,2021-01-25 00:05:00,almost  year old mother passenger best see mom set astonished well treated houston iah put mom flight stopped dulles phone best help manage flight dulles airport final destination zambia africa nerve wracking crew stepped managed everything kindness gentleness toward mom wanted say thank ethiopian airlines exemplary client care,Solo Leisure,Business Class,May 2021,Positive,Positive,,,Positive,,Positive,1
10,ethiopian-airlines,2021-01-17 00:05:00,bought souvenirs  ebon giraffes planned transport carryon luggage like many times trips africa realise items slightly taller carryon limitations never problem airlines past passengers similar size souvenirs board check counter told possible take souvenirs board need check told employee items fragile expensive told us airline separate containers fragile items souvenirs damaged reluctantly agreed presented options arrival milan could immediately see package handled extreme negligence package ripped od several places obvious items inside broken multiple places plan make effort resolve issue even though damage occurred solely followed employee demands assurances wishes,Couple Leisure,Economy Class,February 2021,Neutral,Negative,Neutral,,Negative,,Negative,0
11,ethiopian-airlines,2021-01-30 00:01:00,flights time seats  configuration direct aisle access window seats plenty legroom privacy due rather old seating sufficient entertainment system good amount movies music wifi flights aircraft type b crew helpful courteous times food average probably pandemic like premium economy say enjoyable flights ethiopian,Solo Leisure,Business Class,January 2021,Neutral,Positive,Neutral,Positive,Positive,,Neutral,1
12,ethiopian-airlines,2021-01-16 00:01:00,given circumstances nearperfect flight oldstyle sidebyside seating nobody next probably better new seats slept within several days old seemed comfortable new boarding quick painless quickly served glass almost chilled champagne topping always nice touch cabin clean surfaces clearly wiped temperature perfect throughout – warm enough good sleep opted fish although served tray dish metal cutlery would nice see printed menu could understand cabin flight crew meticulous following covid rules toilets kept spotless one advantages covid flying nearempty business sections – therefore less chance near heavy snorer occasionally bumpy patches unlike airlines pilots resort switching seat belt sign every time leaving long really nothing one could fault flight price timing offered excellent value money change airline make offer business passengers free wifi,Business,Business Class,January 2021,Positive,Positive,Positive,,Positive,,Positive,1
13,ethiopian-airlines,2021-01-15 00:01:00,received email airline telling arrive airport four hours flight waited hour staff arrived hadn’t clue received email business passengers go separate entrance suspect slower normal route two pleasant immigration officers spent inordinate amount time checking exit form lounge empty arrived except ethiopian crew gorging lounge piractivated lights kept switching movement detected equally annoying continual announcements country banned use import plastic bags order “save environment” worthy boarding relatively quick ground crew insisting everyone wore mask encouraging – except many passengers halfremoved reached aircraft including returning pilot sitting business aircraft little worn adequate received warm glass champagne ask food ok memorable approached addis obediently complied cabin crew’s request put seat upright – pilot sitting business evidently believed rule apply remained reclined landing,Business,Business Class,January 2021,Negative,Positive,Neutral,,Negative,,Neutral,1
14,ethiopian-airlines,2021-01-11 00:01:00,checkin lhr semichaotic distancing crush passengers huge amounts baggage pushed way business priority lane lounge open lufthansa’s uninspiring offering beer wine served desk selection food despite travel restrictions lhr travellers seemed retired couples boarding slow priority business board nice surprise discover new individualised seat layout cabin crew quick serve glass champagne refill movie selection dire wifi failed connect satellite throughout flight food choice beef chicken fish although served premium economy style – covid precaution – sufficient cabin crew attentive keeping glass full flat bed slightly narrow extent unable sleep overall flight offered value money arrived feeling relaxed,Business,Business Class,January 2021,Positive,Positive,Positive,Negative,Negative,,Positive,1
15,ethiopian-airlines,2021-01-11 00:01:00,nice surprise find  rather  often use route although oldstyle sidebyside business seats front plane almost empty issue glass champagne served promptly refilled – nice trick airlines learn choice food limited chicken beef chose former came covidstyle pleasant couscous prawn wifi aircraft check movies cabin crew efficient pleasant,Business,Business Class,January 2021,Positive,Positive,Positive,,Positive,,Positive,1
16,ethiopian-airlines,2021-01-10 00:01:00,online check app good luggage drop athens biut chaotic lot people excessive luggage counter line agents good though st flight delayed hour however almost  hours stopover addis ababa problem flight coming moscow majority passengers russia almost full however noone next comfortable aircraft seat good food service hot tasty meal cabin crew wear traditional ethiopian dresses looks nice polite nice although strict regarding wearing masks addis ababa big hub busy morning arrived although covid times lot aircraft arrive time many passengers catch connecting flights done efficiently though airport particularly luxurious extra comfortable however bad either would preferred shorter connection however knew booked nd flight time uneventful another nice warm meal  hour flight landing smooth collected luggage pretty quickly airline seems good job leader african aviation competes well major carriers  seems directly compete gulf carriers many routes pretty well,Solo Leisure,Economy Class,December 2020,Positive,Positive,Positive,Positive,Positive,,Positive,1
17,ethiopian-airlines,2020-01-28 00:12:00,flew cape town dubai via ethiopia dubai government website states pcr test completed arrival dubai checked cape town airport ethiopian airport staff request covid test board first leg ethiopia however denied boarding ethiopia informed pcr required forced spend  days ethiopia waiting pcr test costly understand requirements need met i’m deeply dissatisfied pcr wasn’t requested board cape town airline well aware entire journey end destination raised matter airline response mentioned website,Solo Leisure,Economy Class,November 2020,Neutral,Neutral,Neutral,Negative,Negative,,Neutral,0
18,ethiopian-airlines,2020-01-23 00:12:00,arrived airport well advance hrs hrs flight service extremely slow people started pay agents working airport order jump queues decided stop accepting passengers early agents disappeared nobody ask going airport authority staff told us happening since sunday  passengers put next days flight makes close early seats become occupied  covid certificate valid  hours everything becomes complicated dont know ethiopian airlines agents say tomorrow neither know staff ministry health say covid certificate ethiopian airlines need stop practice,Solo Leisure,Economy Class,November 2020,Positive,Positive,Positive,Neutral,Negative,,Positive,0
19,ethiopian-airlines,2020-01-02 00:12:00,return flights booked paid april due covid travel restrictions asked refund via email response phone call australian office  told phone head office africa emailed received reply lots exclamation marks saying  month processing time didn’t quite believe genuine email  days later money refunded credit card correctly happily surprised sad flying looking forward future african holiday,Family Leisure,Business Class,November 2020,,,,,,,Neutral,1
20,ethiopian-airlines,2020-01-24 00:11:00,read reviews travellers regards outfit better judgement went ahead booked two return business class flights due depart th november due covid restrictions bear mind political violence escalating ethiopia position fly called  times speak anyone one answered call  emailed  reply try go cancel site  crashes  looks like case money dont exist much chasing around option see bank step payment worst airline come across  years,Couple Leisure,Business Class,November 2020,,,,,,,Negative,0
21,ethiopian-airlines,2020-01-21 00:11:00,flight cancelled september  promised refund within  days  days said  weeks next   months wonder tell next,Solo Leisure,Economy Class,November 2020,,,,,,,Negative,0
22,ethiopian-airlines,2020-01-19 00:11:00,booking april pandemic struck us cancelled flight according european regulations airline need offer refund ethiopian airlines never offered refund matter many times november still havent able get refund tickets,Solo Leisure,Economy Class,April 2020,,,,,,,Negative,0
23,ethiopian-airlines,2020-01-16 00:11:00,booked ticket nairobi athens via addis ababa airline cancelled scheduled flight due covid airline resumed flights went change ticket informed price gone double fact even though ticket already paid pay   hours departure tried check online first part flight available check arrived airport et cancelled flight addis athens without notifying also booked fly  hours later meaning spend day addis arrive destination  hours delay way reach destination day planned important fly via rome adding  hours trip lot risk contracting covid wait hours airport later fly plane reason crowded front half second half remained empty trip lasted total  hours cost  husband flew day later lufthansa  hours later paid  complained requested refunded difference paid someone replied  please kindly note whenever schedule change routing change occur understand passengers’ plan may disrupted sometimes decisions necessitated due operational unforeseen circumstances flown airline times come conclusion ok fly everything goes smoothly something goes wrong need assistance customer service become worst,Couple Leisure,Economy Class,September 2020,Negative,Negative,Negative,Negative,Negative,,Negative,0
24,ethiopian-airlines,2020-01-16 00:11:00,boarding done efficiently – zones prevent inevitable attempts queuejumping staff tell people go back line masks obligatory social distancing aircraft exceptionally clean many seats economy empty – always recipe pleasant flight toilets clean broad selection movies aircraft decent screens problem controls mounted arm rests meant occasionally movie would freeze arms brushed panel flight slightly delayed arrived time food served promptly – choice beef chicken roll crackers cheese biscuit although nothing special adequate wine asked landing lhr usual long walk delays egates passengers wondering working wearing masks bags also took long time load onto belt flown  quick succession identical seats latter would preferred aircraft flight seemed smoother quieter simply felt better given cheapness ticket flight offered incredible value money especially included one hour free wifi,Solo Leisure,Economy Class,November 2020,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,1
25,ethiopian-airlines,2020-01-09 00:11:00,heathrow airport operating lockdown mode therefore checkin security quick restaurants closed although possible buy drink food eaten chairs boarding aircraft done efficiently half full meant three seats spread across cabin crew pleasant professional food served box choice chicken beef problem asking another small bottle wine beer left time arrived slightly early aircraft wifi equipped one hour free access modest fee connection remarkably fast given price flight offered great value lack passengers airport plane arguably pleasant journey prelockdown days,Business,Economy Class,November 2020,Positive,Positive,Neutral,,Positive,Positive,Positive,1
26,ethiopian-airlines,2020-01-08 00:11:00,packed dubai addis cabin temperature warm wifi working cabin crew nice attentive meal typical c box dry items hot casserole dry items horrible small red beans salad sauce bread hard rock crew apologized brought fresh bun guess et assumes passengers like spicy food ethiopian proud safe operation due c ground start boarding cabin ready jetway packed passengers top forget social distancing upon landing addis passengers get aircraft still taxiing cabin crew tried control crowds avail forgot bose headphones onboardbut trying get assistance terminal impossible told “ find agent radio call plane” none radio flight tel aviv delayed  hours du excuses ‘air space’ closed ethiopia didn’t stop flights take luckily left  hours rather  horrible box spicy chicken happy addis ababa cabin crew good thing going et,Solo Leisure,Economy Class,November 2020,Negative,Positive,Negative,Negative,Negative,Negative,Negative,0
27,ethiopian-airlines,2020-01-19 00:07:00,frankfurt addis abba th july  originally booked economy class seat decided upgrade cloud nine wanted relax enjoy flight comfortthe checkin gentleman frankfurt friendly processed  upgrade fee mention made change onboard service directed senator lounge frankfurt airport horrified find every single business class passenger flying evening attempting squeeze seats available lounges frankfurt closed due covid masses people cramming one lounge major mistake puts large number people crammed together one small lounge rather several lounges open limited restriction number guests allowed time boarding went smoothly  seat  expected comfortable unfortunately pleasant onboard experience ended realise may concerns covid virus handle onboard service flown lufthansa connecting flight lisbon given full business class experience normal  firstly hot towel served menu inflight entertainment working  seat charging ports working economy class tray food served business class shocking quality food business class breakfast cold severed economy class tray found meal offered economy class toilet behind seat l flushing crew wear gloves time service ethiopian airlines charging full upgrade cost product receiving business class way seat business class nothing mentioned lack service onboard flight offer business class whole experience product tried call global customer service number addis abba waited  hours hold calls cut said next line answered two hours time wrong use covid threat still charge business class fares bring level items served class  want cut services offered cut cost business class fares reflect,Business,Business Class,July 2020,Positive,Negative,Negative,Negative,Neutral,,Negative,0
28,ethiopian-airlines,2020-01-12 00:07:00,ethiopian allaround great airline definitely deserves status africas leading carrier two hour flight even got full meal something youd never get economy class us also nice cabin comfortable seats new stream device entertainment system however shame great airline saddled terrible hub airport like addis ababa currently undergoing renovation doesnt seem changed problem congestion lack jetbridges luckily flight departed afternoon addis ababa gets even crazier late night hub hours boarding chaotic norm ethiopian arrivals process nbo actually decent ethiopian uses kenya airways much modern wing airport arrivals anyways great flight mediocre ground experience,Solo Leisure,Economy Class,January 2020,Positive,Positive,Positive,Neutral,Negative,Neutral,Positive,1
29,ethiopian-airlines,2020-01-21 00:05:00,believe ethiopian airline unfair refund policy corona virus pandemic period advertised full refund issued customers whose intended flight fell march june  however refund form voucher means airline tied travel funds option travel airports open airline stated want cash refund  penalty apply airline refused issue cash refund without penalty airline went ahead cancel flight refused offset value existing ticket repatriation costs backed corner option wait till airports open hopefully visa expire travel ethiopian air,Solo Leisure,Economy Class,June 2019,,,,,,,Negative,0
30,ethiopian-airlines,2020-01-18 00:05:00,booked ticket ethiopian airlines got cancelled due extension covid flight restrictions contacted airline customer support via email advised would usd fee applied refund ticket despite free refund condition advertised airline website online ticket booking process,Solo Leisure,Economy Class,May 2020,,,,,,,Negative,0
31,ethiopian-airlines,2020-01-27 00:04:00,missing suitcase  positive result wife sa lockdown announced  virgin summarily cancelled return flight still waiting hear getting back even though home month get back bought ticket ethiopian airlines via addis ababa flight great good service excellent planes staff pleasant flight round side suitcase didnt arrive  wasnt put onto plane johannesburg notified powers heathrow  success wrote ethiopian airlines directly immediate response highest level string follow emails next couple weeks received call yesterday say case waiting heathrow went collect immediately  per normal johannesburg international wrapped suitcase opened stitching slit case rifled fortunately low life got didnt find anything didnt unzip top compartment utmost respect way ethiopian airlines assisted us return case brilliant service future certainly choose larger carriers dont understand meaning customer service,Solo Leisure,Economy Class,March 2020,Positive,Positive,Positive,Positive,Positive,,Positive,1
32,ethiopian-airlines,2020-01-09 00:04:00,beijing addis ababa booked flight tripcom informed tripcom flight cancelled due recent flight restrictions phoned tripcom received expected answer full ticket refunded due airline cancelling flight  received email third ticket price taken cancelation fees need respond within  hours accept neither tripcom ethiopian airlines provided reason therefore dont bother using tripcom book directly airline save fees pay tripcom,Solo Leisure,Economy Class,April 2020,,,,,,,Negative,0
33,ethiopian-airlines,2020-01-31 00:03:00,athens entebbe via addis ababa booked april canceled flight refusing refund offered open ticket meet needs claimed eligible nonrefundable status ticket,Solo Leisure,Economy Class,March 2020,,,,,,,Negative,0
34,ethiopian-airlines,2020-01-30 00:03:00,son friend booked tickets fly johannesburg chengdu connecting shenzhen via addis ababa departure date  april  south africa enforced lockdown  march  april china enforced lockdown  march  despite several attempts contact airline locally unsuccessful finally long expensive wait contacted call centre ethiopia informed flight cancelled airline allowed land would flight airline offering travel voucher cancellation refund available cancellation fee usd show fee usd refund difference airfare would payable voucher used applicable  march received email notifications leg flight flights cancelled due unforeseen circumstances understandable airline would want lose money ethiopian airlines using coercion customers control changed flight prices point flying covid one opted travel voucher customer may pay ticket one opt cancel customer would pay usd  fair position would either refund customer penalties customer’s fault offer voucher assurance price difference paid later,Couple Leisure,Economy Class,March 2020,,,,,,,Negative,0
35,ethiopian-airlines,2020-01-19 00:03:00,djibouti addis ababa every thing alright one type food provided economy class considering fasting months ethiopia orthodox christian vegan customers preferences chicken sandwich enough option can’t reflect flagship airline standards hope management team consider wish best critical time covid,Business,Economy Class,March 2020,Positive,Positive,Negative,Positive,Positive,Negative,Positive,1
36,ethiopian-airlines,2020-01-24 00:02:00,disappointed ground service staff didnt correct information flight children marked tickets used confirmed flight reached destinations fact held back transit addis kids held back bujumbura due bad weather conditions instead landing kigali planned understand flight reaching destination dont understand company chose withhold information especially parent give wrong info altogether cannot tell much panic misinformation caused ground staff acted like clients bothering every time asked information asked lady could make simple phone call office kigali immigration least confirm passports recorded system wasnt granted even better,Family Leisure,Economy Class,February 2020,Neutral,Positive,Neutral,Neutral,Negative,Neutral,Negative,0
37,ethiopian-airlines,2020-01-23 00:02:00,buenos aires manila via addis ababa  expecting worst got surprised flights pleasant staff nice gave us lots food things like blankets toothbrush paste socks eyes cover considering ive longer flights expensive airlines provide found nice thing point second flight screens wouldnt work asked help one members crew never came back,Solo Leisure,Economy Class,February 2020,Neutral,Positive,Positive,Neutral,Positive,,Positive,1
