,Subject,date_published,verified,review_text,type_of_traveller,seat_type,route,date_flown,value_for_money,recommended,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,aircraft
0,air-mauritius,2021-01-04 00:09:00,True,"My flight was cancelled over a year ago and I'm still waiting for a refund. Appalling customer service, nobody can help, nobody knows anything. I was told that the company is in administration and that I have to wait until early 2022 for a decision on the refund. Despite that, they are still selling flights (as of 04/09/21) and offer refunds on their website, 'Condition of carriage' section. I will certainly never fly with Air Mauritius again.",Solo Leisure,Economy Class,London to Mauritius,October 2020,1,no,,,,,,,
1,air-mauritius,2021-01-24 00:08:00,True,In March 2020 my flight from Mahe to Mauritius was cancelled by Air Mauritius so it's 17 months and I am still fighting for my refund.  In their last email I was informed that I have to wait till January 2022 and then they will make their decision regarding my refund. I am not going to risk my money booking my flight with Air Mauritius again.,Solo Leisure,Economy Class,Mahe to Mauritius,September 2020,1,no,,,,,,,
2,air-mauritius,2020-01-08 00:12:00,True,Staffs were not professional and the service on the plane is very poor. The entertainment system don't have much options either.  Online WiFi don't work. Contacted the airline a few times to complain but never got any response back. This speaks volume about there service and how they value there customers. I'll never use this airline again.,Solo Leisure,Economy Class,Paris to Mauritius,December 2020,3,no,1.0,1.0,1.0,1.0,2.0,1.0,
3,air-mauritius,2020-01-01 00:04:00,True,"Mauritius to London Heathrow This was an unexpected and emergency flight back home due to the Coronavirus and booked at very short notice following advice from the Foreign and Commonwealth Office in Mauritius due to the Border closures given the situation. In addition, the Kenya Airways / Qatar Airways flights to Nairobi and Doha / Manchester were all cancelled due to the Coronavirus, as the airlines were not flying on these routes, with no availability to travel until at least mid-April (this now appears unlikely as the Mauritius authorities have imposed restrictions). We were informed this was the last commercial flights to UK from Mauritius, so there was no option but to book and look to recoup costs back from Credit Card company give the crisis situation. This was reflected in the cost of the one way ticket to London Heathrow. Never have I seen Sir Seewoosagur Ramgoolam International Airport so deserted and quiet. However check in was easy. Boarding was a little chaotic, as this flight was full (this was a concern as it was impossible to evidence concepts of social distancing in the flight as would be expected given the impact of Coronavirus, though I wore a face mask for majority of the flight). Cabin crew themselves were dressed with appropriate Protective Equipment (PPE) for the 12 hour flight to reduce risks of infection. The flight itself represents an improvement from the last time I travelled with Air Mauritius some 25 years ago !. Cabin crew were kind, friendly and attentive and service has improved. The meals sadly are of poor quality. Lukewarm, with little in the way of decent portion size (though they provided my Vegetarian Special meal). Bread was stale unfortunately, and the dessert was an odd combination of rice and sugary milk ?? Menus were not provided, which is a shame. The inflight entertainment is ok, and the flight map and routing was good. Unfortunately could not connect to the complimentary WIFI online, as it would not recognise my booking details. In summary, definite improvements noted with Air Mauritius which was welcome. The new Airbus A330neo is a lovely aircraft. Pilot gave timely announcements. Sadly the toilets were not being attended to (perhaps more due to some of the ignorant passengers onboard whom have no empathy for the airline or the crew).The only deficits as mentioned was the meal quality, otherwise it was good. A great shame I could not get a connection back to Manchester (due to the Coronavirus, but good a rental car for a quick 3 hour drive to Manchester Airport from Heathrow to collect my car and get back home). I would travel with Air Mauritius again if need be - most likely from Mauritius to destinations such as India, Malaysia and local regional areas such as Reunion Island, Rodrigues and Seychelles. As for long haul, it’s ok, but 12 hours with Air Mauritius is a bit too much and will revert back to Qatar Airways or Emirates for future travel between Manchester and Mauritius. But in summary, a pleasant experience.",Couple Leisure,Economy Class,Mauritius to London Heathrow,March 2020,2,yes,4.0,4.0,1.0,4.0,3.0,1.0,A330neo
4,air-mauritius,2020-01-10 00:02:00,True,"Perth to Mauritius. Travelling with Air Mauritius was a nightmare. Need to upgrade to better planes, uncomfortable seat, my lunch/meal was unsatisfactory. Flight supervisor not professional, no smile, with attitude, the other attendants were all amazing.",Family Leisure,Economy Class,Perth to Mauritius,December 2019,1,no,1.0,3.0,1.0,2.0,4.0,2.0,
5,air-mauritius,2020-01-06 00:02:00,True,"Mauritius to Perth. I was quite appalled by the quality of both the dinner and breakfast options, and the old movies onboard. For dinner, I had tasteless vegetable, chicken rougaille and rice and for breakfast we had a slice of cake.  No snacks were offered during the flight.",Couple Leisure,Economy Class,Mauritius to Perth,January 2020,2,no,3.0,2.0,1.0,1.0,2.0,1.0,A330-200
6,air-mauritius,2020-01-26 00:01:00,True,"London to Mauritius. Excellent experience, even though we diverted to Madagascar. We were nearly landing in Mauritius when the plane diverted to Madagascar due to a cyclone. Air Mauritius provided shuttles to an Ibis hotel, covered all the buffet meals while we were there (and accommodation). There was a lack of shuttle buses so many people had to wait long periods to reach the hotel. We took a taxi and paid ourselves, which was a great idea. The room and food was arranged without us requesting it, so we're grateful for that. Communication was good in terms of catching a flight the next day to Mauritius. Legroom was good on the flight. The food was inedible, which is my only complaint. Airline staff was lovely, friendly and accommodating. All in all a great trip, they handled the delay well and will definitely consider flying with them again.",Couple Leisure,Economy Class,London to Mauritius,January 2020,4,yes,4.0,5.0,1.0,3.0,5.0,,
7,air-mauritius,2020-01-11 00:01:00,True,"We were supposed to fly on 29th December. Due to a cyclone in Mauritius, the flight was first delayed, then eventually cancelled. Air Mauritius did inform us the first time, but the second time, everyone had already arrived at the airport. We were standing in line when we got notified that the flight was delayed, and then cancelled. Then we were informed at 1 am that the flight is scheduled for the 31st December at midday. We finally went through the boarding gates, took a bus to the aeroplane, and there we were - all standing on the 'runway' outside the aeroplane, waiting to board. We were outside for probably 30 minutes, then sat in the plain for another 40 minutes, without any communication about what is going on. When we finally took off, the captain apologised for the delay, but with no reason as to why. We had to ask the air hostesses every time if we needed something to drink and then they looked at us as if we were asking for something that was not allowed. They were unfriendly to us and not hospitable. When the food arrived, they ran out of the chicken option and only had fish left. My husband's fish was undercooked. When we arrived in Mauritius, we were once again stranded on the runway, without any busses, staff to communicate with or any means of getting into the airport. We were standing around for some time until we finally got picked up by one bus. We waited for more than an hour to get our luggage. On the flight back, although we were delayed by an hour, the service was a lot better. Drinks were offered all the time and the staff was friendly. Very inconsistent service. Air Mauritius did not contact us at all about the delay, asking if we would like to extend our stay or offer any discounts because we have now arrived almost 3 days later and missed out on the short time that we had on the island. Car hire was and accommodation was affected. I understand that this was an act of God, but it's all about customer service.",Couple Leisure,Economy Class,Cape Town to Mauritius,January 2020,2,no,3.0,1.0,2.0,3.0,2.0,,
8,air-mauritius,2020-01-10 00:01:00,True,Shanghai to Mauritius in August 2019. Our flight from Mauritius to Shanghai was scheduled the day of. They didn't bother to let us know until we were already checked out of our hotel. They did not make any effort to reimburse us for our meals even though we had to stay in Mauritius for an extra day. We had to jump through hoops just to get them to pay for our hotel for an extra night. I would never recommend this airline.,Couple Leisure,Economy Class,Shanghai to Mauritius,September 2019,1,no,1.0,1.0,1.0,,1.0,,
9,air-mauritius,2020-01-04 00:01:00,True,"Mauritius to Mumbai return. The food is ok on departure but they served stale buns. The seats are comfortable and flight attendants are nice and helpful. The flight delay by 1 hr we were sitting in the plane with kids, nothing served until 23.30, our flight were supposed to take off at 21.20. Returning from Mumbai was the worst meals served on this flight. Priority for meals should be given for kids first, not those who ordered.",Family Leisure,Economy Class,Mauritius to Mumbai,December 2019,3,no,4.0,3.0,1.0,3.0,3.0,1.0,
10,air-mauritius,2020-01-01 00:01:00,True,"Perth to Nairobi via Mauritius in June/July 2019. Their check-in baggage allowance of 23kgs is a hit below the belt to say the least. In-flight entertainment needs a serious upgrade  as movies and TV shows were outdated. Cabin crew were friendly, but most of them mainly spoke in French. They were the cheapest airline at that time of the year, and they offered 2 free nights at Hennessy Park Hotel during transit, because they have limited flights to Nairobi.",Solo Leisure,Economy Class,Perth to Nairobi via Mauritius,July 2019,2,no,2.0,2.0,4.0,1.0,4.0,,
11,air-mauritius,2020-01-01 00:01:00,True,"Mauritius to Paris. The legroom was huge for an economy seat. The seat was very comfortable and the crew was super nice. The entertainment was great, a lot of movies, series, music. The meal wasn’t that good but it was okay, and the ground crew wasn’t very present for us, and boarding was a little messy. It was a very nice flight.",Solo Leisure,Economy Class,Mauritius to Paris,December 2019,4,yes,5.0,4.0,3.0,5.0,3.0,3.0,A330neo / A350-900
12,air-mauritius,2019-01-19 00:12:00,False,"Paris to Mauritius. The plane was new, clean and comfortable. The entertainment was good, but insufficient charging ports for electronic devices. The meals (dinner and breakfast) were good and plentiful, much better than our previous flight on Air Canada. The flight crew were friendly and helpful, and the flight which was eleven hours, was pleasant.",Family Leisure,Economy Class,Paris to Mauritius,December 2019,4,yes,4.0,5.0,5.0,5.0,4.0,4.0,A350
